1  0.51442E-04  0.35058E-01  0.96489E+00  0.15001E+05  0.10594E+08  0.80135E+10  0.99997E-01  0.37628E-02  0.13682E-03
2  0.15300E-04  0.38374E-01  0.96161E+00  0.44118E+04  0.11507E+08  0.72228E+10  0.99999E-01  0.19581E-02  0.78154E-04
3  0.10000E-05  0.50806E-01  0.94919E+00  0.29412E+03  0.15743E+08  0.54948E+10  0.31623E+00  0.13669E-02  0.73162E-04

1  0.55716E-04  0.35168E-01  0.96478E+00  0.12501E+05  0.81775E+07  0.61451E+10  0.99997E-01  0.39097E-02  0.14262E-03
2  0.15908E-04  0.38255E-01  0.96173E+00  0.35504E+04  0.88772E+07  0.56084E+10  0.99999E-01  0.19998E-02  0.79563E-04
3  0.14000E-05  0.50853E-01  0.94915E+00  0.31227E+03  0.11950E+08  0.41630E+10  0.26726E+00  0.13662E-02  0.73197E-04

1  0.60000E-04  0.35270E-01  0.96467E+00  0.13847E+05  0.84368E+07  0.63011E+10  0.18257E+00  0.73963E-02  0.27064E-03
2  0.18000E-04  0.38578E-01  0.96140E+00  0.45001E+04  0.10031E+08  0.62274E+10  0.33333E+00  0.70600E-02  0.28336E-03
3  0.20000E-05  0.50706E-01  0.94929E+00  0.85714E+03  0.22892E+08  0.80232E+10  0.10000E+01  0.61191E-02  0.32685E-03

1  0.63884E-04  0.35369E-01  0.96457E+00  0.14287E+05  0.81991E+07  0.60875E+10  0.99997E-01  0.41741E-02  0.15319E-03
2  0.17309E-04  0.38355E-01  0.96163E+00  0.38962E+04  0.89776E+07  0.56408E+10  0.99999E-01  0.20832E-02  0.83108E-04
3  0.15500E-05  0.50818E-01  0.94918E+00  0.35227E+03  0.12168E+08  0.42448E+10  0.17961E+00  0.96638E-03  0.51740E-04

1  0.59400E-04  0.35179E-01  0.96476E+00  0.13128E+05  0.80578E+07  0.60504E+10  0.29012E-01  0.11710E-02  0.42735E-04
2  0.17150E-04  0.38340E-01  0.96164E+00  0.37762E+04  0.87785E+07  0.55201E+10  0.53994E-01  0.11199E-02  0.44658E-04
3  0.13500E-05  0.50837E-01  0.94916E+00  0.29889E+03  0.11858E+08  0.41336E+10  0.19245E+00  0.96619E-03  0.51750E-04

1  0.55800E-04  0.35219E-01  0.96472E+00  0.12401E+05  0.81122E+07  0.60775E+10  0.42332E-01  0.16551E-02  0.60469E-04
2  0.15600E-04  0.38353E-01  0.96163E+00  0.34796E+04  0.88957E+07  0.55903E+10  0.80063E-01  0.15835E-02  0.63166E-04
3  0.15000E-05  0.50748E-01  0.94925E+00  0.36000E+03  0.12831E+08  0.44891E+10  0.25820E+00  0.13677E-02  0.73118E-04
