1  0.19663E-04  0.35100E-01  0.95959E+00  0.13389E+05  0.11100E+08  0.75282E+10  0.99792E-01  0.34658E-02  0.13308E-03  0.88116E-05  0.33868E-01  0.37324E-01
2  0.54365E-05  0.38400E-01  0.95893E+00  0.36655E+04  0.11944E+08  0.71162E+10  0.99906E-01  0.17502E-02  0.71701E-04  0.24117E-05  0.36926E-01  0.38648E-01
3  0.55000E-06  0.50887E-01  0.94884E+00  0.42470E+03  0.17773E+08  0.61576E+10  0.27938E+00  0.13657E-02  0.73372E-04  0.23611E-06  0.48298E-01  0.48467E-01

1  0.48647E-05  0.35210E-01  0.95728E+00  0.14045E+05  0.11004E+08  0.68450E+10  0.99673E-01  0.35610E-02  0.14278E-03  0.50805E-06  0.33970E-01  0.40367E-01
2  0.13453E-05  0.38292E-01  0.95793E+00  0.38529E+04  0.11747E+08  0.67610E+10  0.99912E-01  0.18095E-02  0.75424E-04  0.13858E-06  0.36825E-01  0.40042E-01
3  0.10469E-06  0.50877E-01  0.94874E+00  0.32663E+03  0.17868E+08  0.61728E+10  0.31946E+00  0.13658E-02  0.73485E-04  0.11184E-07  0.48288E-01  0.48606E-01

1  0.68359E-04  0.28390E+00  0.68095E+00  0.86360E+05  0.50882E+08  0.27645E+09  0.99625E-01  0.41043E-02  0.17608E-02  0.69441E-05  0.20329E+00  0.21525E+00
2  0.62326E-04  0.30108E+00  0.67084E+00  0.66748E+05  0.46999E+08  0.22394E+09  0.99939E-01  0.37663E-02  0.17254E-02  0.63494E-05  0.21042E+00  0.21924E+00
3  0.31548E-04  0.36708E+00  0.61777E+00  0.33446E+05  0.62595E+08  0.17508E+09  0.99832E-01  0.23077E-02  0.13798E-02  0.32115E-05  0.23232E+00  0.23525E+00
