01  0.15345E+01  0.15824E-02  0.47932E+10  0.15206E+01  0.30676E-06  0.29306E+14
02  0.97150E+00  0.21534E-02  0.25884E+10  0.96061E+00  0.48645E-06  0.11654E+14
03  0.49300E+00  0.74026E-02  0.21903E+09  0.52885E+00  0.60874E-06  0.74418E+13
04  0.26800E+00  0.20344E-02  0.29000E+10  0.27741E+00  0.10739E-05  0.23910E+13
05  0.16700E+00  0.46353E-02  0.55860E+09  0.14267E+00  0.18451E-05  0.80998E+12
06  0.76500E-01  0.48622E-02  0.50769E+09  0.71983E-01  0.17997E-05  0.85143E+12
07  0.31000E-01  0.10171E-01  0.11601E+09  0.35950E-01  0.29092E-05  0.32583E+12
08  0.15500E-01  0.86982E-02  0.15864E+09  0.17864E-01  0.51538E-05  0.10382E+12
09  0.60000E-02  0.12867E-01  0.72493E+08  0.86159E-02  0.14416E-04  0.13269E+11
10  0.35000E-02  0.22415E-01  0.23889E+08  0.36405E-02  0.12667E-04  0.17187E+11
