1	9.77E-01	1.78E-03	8.69E-01	9.60E-04
2	7.90E-01	5.01E-03	7.36E-01	1.42E-03
3	6.58E-01	4.11E-03	5.87E-01	1.99E-03
4	6.45E-01	3.07E-03	4.73E-01	3.78E-03
5	5.28E-01	2.62E-03	3.80E-01	4.17E-03
6	3.90E-01	4.47E-03	3.09E-01	5.83E-03
7	3.70E-01	3.10E-03	2.23E-01	4.00E-03
8	2.57E-01	4.12E-03	1.66E-01	5.24E-03
9	2.40E-01	5.80E-03	1.22E-01	4.43E-03
10	1.97E-01	3.61E-03	7.99E-02	4.56E-03
11	1.65E-01	3.44E-03	2.02E-01	4.22E-03
12	1.25E-01	2.38E-03	1.15E-01	3.90E-03
13	1.25E-01	2.69E-03	9.23E-02	4.92E-03
14	1.08E-01	3.17E-03	7.48E-02	5.00E-03
15	8.18E-02	6.18E-03	6.08E-02	4.88E-03
16	5.25E-02	4.44E-03	4.60E-02	4.94E-03
17	5.50E-02	3.98E-03	3.25E-02	5.44E-03
18	3.66E-02	5.02E-03	2.56E-02	4.75E-03
19	2.65E-02	4.27E-03	1.79E-02	6.73E-03
20	2.81E-02	5.29E-03	8.06E-03	6.66E-03
21	2.22E-02	6.63E-03	2.31E-02	5.34E-03
22	1.82E-02	1.38E-02	1.36E-02	5.76E-03
23	1.61E-02	6.72E-03	1.22E-02	1.27E-02
24	1.26E-02	1.07E-02	9.27E-03	5.96E-03
25	7.53E-03	6.73E-03	8.68E-03	7.42E-03
26	9.25E-03	1.05E-02	6.77E-03	7.73E-03
27	6.24E-03	6.58E-03	4.74E-03	8.58E-03
28	4.60E-03	7.14E-03	2.87E-03	1.11E-02
29	5.78E-03	5.56E-03	2.06E-03	1.31E-02
30	4.10E-03	1.03E-02	1.93E-03	1.42E-02
31	2.53E-03	7.86E-03	3.23E-03	2.20E-02
32	2.35E-03	1.14E-02	1.93E-03	1.94E-02
33	1.83E-03	1.30E-02	1.41E-03	1.71E-02
34	1.75E-03	4.71E-03	1.14E-03	9.94E-03
35	1.29E-03	2.27E-02	9.15E-04	1.17E-02
36	1.82E-03	6.41E-03	7.14E-04	1.18E-02
37	1.19E-03	8.67E-03	5.40E-04	1.19E-02
38	5.57E-04	9.43E-03	3.57E-04	1.29E-02
39	9.09E-04	6.66E-03	2.93E-04	1.56E-02
40	9.97E-04	5.48E-03	2.28E-04	1.54E-02
41	4.76E-04	1.33E-02	3.55E-04	1.26E-02
42	4.94E-04	4.06E-02	2.21E-04	1.20E-02
43	1.70E-04	3.95E-02	1.86E-04	1.22E-02
44	2.66E-04	3.29E-02	1.65E-04	1.20E-02
45	2.19E-04	1.10E-02	1.34E-04	1.23E-02
46	2.76E-04	8.66E-03	1.06E-04	1.22E-02
47	2.71E-05	4.93E-02	8.33E-05	1.21E-02
48	7.34E-05	2.50E-02	6.59E-05	1.26E-02
49	5.35E-05	1.56E-02	4.27E-05	1.34E-02
50	1.46E-04	2.94E-02	3.41E-05	1.45E-02
