01  0.16020E+01  0.39608E-02  0.13811E+01  0.27864E-02
02  0.95500E+00  0.40027E-02  0.79457E+00  0.28869E-02
03  0.57100E+00  0.59188E-02  0.44018E+00  0.55086E-02
04  0.26900E+00  0.65103E-02  0.20467E+00  0.65143E-02
05  0.11900E+00  0.90940E-02  0.99912E-01  0.81566E-02
06  0.78000E-01  0.96116E-02  0.76173E-01  0.96346E-02
07  0.59000E-01  0.12772E-01  0.49406E-01  0.13105E-01
08  0.19000E-01  0.98324E-02  0.17052E-01  0.97836E-02
09  0.60000E-02  0.20790E-01  0.70846E-02  0.21265E-01
10  0.20000E-02  0.21500E-01  0.35348E-02  0.24797E-01

01  0.15010E+01  0.28779E-02  0.13645E+01  0.14950E-02
02  0.93300E+00  0.85318E-02  0.76640E+00  0.28719E-02
03  0.47500E+00  0.40553E-02  0.38383E+00  0.29902E-02
04  0.25300E+00  0.52728E-02  0.20390E+00  0.83642E-02
05  0.14700E+00  0.49802E-02  0.11007E+00  0.11522E-01
06  0.53000E-01  0.19572E-01  0.54775E-01  0.16970E-01
07  0.28000E-01  0.99080E-02  0.23328E-01  0.99047E-02
08  0.38000E-01  0.11703E-01  0.28510E-01  0.11638E-01
09  0.20000E-01  0.13844E-01  0.17854E-01  0.14801E-01
10  0.90000E-02  0.14012E-01  0.50057E-02  0.18525E-01
