1	1.67E+00	5.06E-04	1.26E+00	2.17E-03
2	1.65E+00	8.40E-04	1.17E+00	1.80E-03
3	1.55E+00	6.50E-04	1.14E+00	1.79E-03
4	1.41E+00	1.00E-03	1.08E+00	2.07E-03
5	1.37E+00	6.86E-04	9.67E-01	4.37E-03
6	1.16E+00	5.26E-04	8.52E-01	3.32E-03
7	1.06E+00	7.96E-04	8.46E-01	3.68E-03
8	9.63E-01	7.60E-04	7.34E-01	3.58E-03
9	8.96E-01	8.35E-04	6.49E-01	3.98E-03
10	7.49E-01	1.01E-03	5.71E-01	3.63E-03
11	6.36E-01	6.58E-04	4.73E-01	3.38E-03
12	6.31E-01	6.69E-04	4.62E-01	3.31E-03
13	5.53E-01	1.18E-03	3.71E-01	5.16E-03
14	4.53E-01	1.06E-03	2.99E-01	2.90E-03
15	4.10E-01	1.17E-03	2.74E-01	2.85E-03
16	3.46E-01	1.23E-03	2.69E-01	5.05E-03
17	2.88E-01	1.53E-03	2.53E-01	1.38E-02
18	2.41E-01	2.16E-03	2.08E-01	7.51E-03
19	2.26E-01	1.11E-03	1.74E-01	5.73E-03
20	2.13E-01	2.39E-03	1.57E-01	6.38E-03
21	1.83E-01	1.36E-03	1.49E-01	6.82E-03
22	1.65E-01	2.35E-03	1.13E-01	7.10E-03
23	1.47E-01	2.02E-03	9.34E-02	7.55E-03
24	1.15E-01	1.05E-03	8.48E-02	9.04E-03
25	1.15E-01	1.97E-03	7.21E-02	9.97E-03
26	1.14E-01	2.33E-03	8.12E-02	1.22E-02
27	8.61E-02	1.69E-03	6.57E-02	1.04E-02
28	9.39E-02	1.64E-03	5.49E-02	1.18E-02
29	8.17E-02	2.68E-03	4.82E-02	1.21E-02
30	7.83E-02	1.52E-03	3.35E-02	1.23E-02
31	5.33E-02	3.50E-03	4.37E-02	2.00E-02
32	5.06E-02	2.41E-03	3.32E-02	2.29E-02
33	5.22E-02	2.63E-03	2.97E-02	2.01E-02
34	4.00E-02	2.45E-03	3.65E-02	1.66E-02
35	3.17E-02	3.26E-03	3.37E-02	1.66E-02
36	1.94E-02	3.53E-03	3.74E-02	1.88E-02
37	1.44E-02	4.56E-03	2.30E-02	1.66E-02
38	1.78E-02	3.44E-03	1.70E-02	1.72E-02
39	1.33E-02	3.98E-03	1.12E-02	2.96E-02
40	1.44E-02	2.91E-03	1.09E-02	2.93E-02
41	1.28E-02	2.42E-03	1.06E-02	2.89E-02
42	8.89E-03	7.02E-03	1.22E-02	3.05E-02
43	8.33E-03	5.81E-03	1.28E-02	3.13E-02
44	9.44E-03	3.53E-03	1.34E-02	3.20E-02
45	4.44E-03	4.47E-03	7.62E-03	3.96E-02
46	5.56E-04	1.03E-02	4.52E-03	4.63E-02
47	4.44E-03	8.90E-03	5.33E-03	4.82E-02
48	2.78E-03	5.72E-03	2.04E-03	4.39E-02
49	5.56E-04	3.37E-02	2.04E-03	4.39E-02
50	1.11E-03	2.86E-02	9.35E-03	4.39E-02
