01  0.15040E+01  0.21478E-02  0.15214E+01  0.46282E-06
02  0.10000E+01  0.45136E-02  0.96096E+00  0.65923E-06
03  0.51900E+00  0.38063E-02  0.52814E+00  0.93724E-06
04  0.26300E+00  0.41489E-02  0.27727E+00  0.11941E-05
05  0.14500E+00  0.10769E-01  0.14219E+00  0.14675E-05
06  0.87000E-01  0.82852E-02  0.71982E-01  0.31055E-05
07  0.45000E-01  0.12010E-01  0.36043E-01  0.19969E-05
08  0.30000E-01  0.13257E-01  0.17824E-01  0.27609E-05
09  0.12000E-01  0.16194E-01  0.86032E-02  0.32192E-05
10  0.15000E-01  0.16038E-01  0.36499E-02  0.69079E-05

01  0.13803E+01  0.20592E-02  0.13760E+01  0.30209E-06
02  0.77827E+00  0.17681E-02  0.78817E+00  0.82677E-06
03  0.41426E+00  0.71820E-02  0.43618E+00  0.63836E-06
04  0.24155E+00  0.37072E-02  0.22968E+00  0.86543E-06
05  0.10320E+00  0.85281E-02  0.11777E+00  0.15576E-05
06  0.57942E-01  0.74728E-02  0.59463E-01  0.26415E-05
07  0.25713E-01  0.98358E-02  0.29779E-01  0.29634E-05
08  0.14441E-01  0.13323E-01  0.14862E-01  0.32651E-05
09  0.75477E-02  0.19991E-01  0.72742E-02  0.43125E-05
10  0.56499E-02  0.21088E-01  0.32958E-02  0.55243E-05

01  0.16667E+01  0.50590E-03  0.16665E+01  0.14263E-05
02  0.16489E+01  0.84026E-03  0.16475E+01  0.85218E-06
03  0.15500E+01  0.64973E-03  0.15509E+01  0.10581E-05
04  0.14083E+01  0.10031E-02  0.14337E+01  0.88433E-06
05  0.13711E+01  0.68604E-03  0.13075E+01  0.59818E-06
06  0.11617E+01  0.52615E-03  0.11821E+01  0.93779E-06
07  0.10633E+01  0.79647E-03  0.10636E+01  0.14053E-05
08  0.96278E+00  0.75997E-03  0.95181E+00  0.15811E-05
09  0.89611E+00  0.83542E-03  0.84931E+00  0.14098E-05
10  0.74889E+00  0.10136E-02  0.75268E+00  0.13762E-05
11  0.63611E+00  0.65774E-03  0.66720E+00  0.79113E-06
12  0.63111E+00  0.66931E-03  0.58911E+00  0.13406E-05
13  0.55278E+00  0.11787E-02  0.52222E+00  0.12085E-05
14  0.45278E+00  0.10611E-02  0.46006E+00  0.14822E-05
15  0.41000E+00  0.11717E-02  0.40439E+00  0.13523E-05
16  0.34611E+00  0.12252E-02  0.35498E+00  0.21231E-05
17  0.28833E+00  0.15273E-02  0.31188E+00  0.34384E-05
18  0.24111E+00  0.21595E-02  0.27348E+00  0.18464E-05
19  0.22611E+00  0.11058E-02  0.23930E+00  0.17164E-05
20  0.21278E+00  0.23878E-02  0.20832E+00  0.29475E-05
21  0.18333E+00  0.13603E-02  0.18239E+00  0.38243E-05
22  0.16500E+00  0.23496E-02  0.16030E+00  0.30694E-05
23  0.14667E+00  0.20223E-02  0.13934E+00  0.27018E-05
24  0.11500E+00  0.10546E-02  0.12198E+00  0.18955E-05
25  0.11500E+00  0.19667E-02  0.10659E+00  0.20607E-05
26  0.11444E+00  0.23278E-02  0.92927E-01  0.33843E-05
27  0.86111E-01  0.16948E-02  0.81273E-01  0.34233E-05
28  0.93889E-01  0.16448E-02  0.70944E-01  0.30090E-05
29  0.81667E-01  0.26831E-02  0.61097E-01  0.48457E-05
30  0.78333E-01  0.15249E-02  0.53458E-01  0.24385E-05
31  0.53333E-01  0.35015E-02  0.46413E-01  0.31057E-05
32  0.50556E-01  0.24148E-02  0.40587E-01  0.51201E-05
33  0.52222E-01  0.26339E-02  0.35234E-01  0.46648E-05
34  0.40000E-01  0.24479E-02  0.30994E-01  0.36558E-05
35  0.31667E-01  0.32566E-02  0.26611E-01  0.38166E-05
36  0.19444E-01  0.35286E-02  0.23417E-01  0.33861E-05
37  0.14444E-01  0.45606E-02  0.20286E-01  0.45299E-05
38  0.17778E-01  0.34414E-02  0.17466E-01  0.11071E-04
39  0.13333E-01  0.39827E-02  0.15170E-01  0.91918E-05
40  0.14444E-01  0.29068E-02  0.13072E-01  0.77917E-05
41  0.12778E-01  0.24209E-02  0.11311E-01  0.81008E-05
42  0.88889E-02  0.70227E-02  0.97865E-02  0.68117E-05
43  0.83333E-02  0.58087E-02  0.84470E-02  0.91548E-05
44  0.94444E-02  0.35283E-02  0.73545E-02  0.11806E-04
45  0.44444E-02  0.44668E-02  0.62385E-02  0.77092E-05
46  0.55556E-03  0.10316E-01  0.51990E-02  0.12033E-04
47  0.44444E-02  0.88954E-02  0.44780E-02  0.24255E-04
48  0.27778E-02  0.57203E-02  0.35795E-02  0.11877E-04
