10000000 00037117 05301959 04660924  0.37117E-02  0.53020E+00  0.46609E+00
10000000 00037389 05307371 04655240  0.37389E-02  0.53074E+00  0.46552E+00
01000000 00591842 00267143 00141015  0.59184E+00  0.26714E+00  0.14102E+00
01000000 00591679 00267343 00140978  0.59168E+00  0.26734E+00  0.14098E+00
01000000 00591201 00268041 00140758  0.59120E+00  0.26804E+00  0.14076E+00
